1970,7.79
1971,6.24
1972,5.95
1973,6.46
1974,6.99
1975,7.5
1976,7.74
1977,7.21
1978,7.96
1979,9.1
1980,10.8
1981,12.57
1982,14.59
1983,10.46
1984,11.67
1985,11.38
1986,9.19
1987,7.08
1988,8.67
1989,9.09
1990,8.21
1991,8.09
1992,7.03
1993,6.6
1994,5.75
1995,7.78
1996,5.65
1997,6.58
1998,5.54
1999,4.72
2000,6.66
2001,5.16
2002,5.04
2003,4.05
2004,4.15
2005,4.22
2006,4.42
2007,4.76
2008,3.74
2009,2.52
2010,3.73
2011,3.39
2012,1.97
2013,1.91
2014,2.86
2015,1.88
2016,2.09
2017,2.43
2018,2.58
2019,2.71
2020,1.76
2021,1.08
2022,1.76
2023,3.53
2024,4.06
2025,4.63
