Date,BTC Close,BTC Volume,ETH Close,ETH Volume,XRP Close,XRP Volume,SOL Close,SOL Volume
"Nov 1, 2025","105,996.59","658,372,608,436","3,568.46","382,260,065,201.00",2.5264,52387609063,,
"Oct 1, 2025","109,556.16","2,225,033,226,796","3,847.08","1,395,430,918,350.00",2.5087,191622165285,,
"Sep 1, 2025","114,056.09","1,450,418,370,470","4,145.96","1,053,486,666,675.00",2.8469,166448666002,,
"Aug 1, 2025","112,831.18","1,257,283,514,615","4,073.46","814,969,121,660",2.8529,"137,162,294,857",176.11,"124,329,411,247"
"Jul 1, 2025","115,758.20","2,061,338,304,539","3,696.71","968,856,663,867",3.0252,"238,184,903,219",172.42,"187,945,151,691"
"Jun 1, 2025","107,135.34","1,424,277,758,118","2,486.46","597,782,871,981",2.2387,"84,726,233,210",154.74,"110,243,772,447"
"May 1, 2025","104,638.09","1,496,397,538,233","2,529.09","736,439,227,936",2.1751,"109,806,548,032",156.64,"124,776,649,675"
"Apr 1, 2025","94,207.31","1,060,974,068,310","1,793.78","512,390,406,805",2.1916,"127,539,218,649",147.64,"119,767,641,303"
"Mar 1, 2025","82,548.91","1,049,435,373,908","1,823.48","524,493,831,617",2.0899,"175,693,988,338",124.69,"118,568,071,833"
"Feb 1, 2025","84,373.01","1,257,276,788,562","2,237.91","759,605,849,746",2.1456,"212,973,110,334",148.03,"134,531,484,487"
"Jan 1, 2025","102,405.02","1,668,843,382,017","3,298.27","816,020,167,432",3.0354,"287,233,890,443",231.64,"217,282,875,112"
"Dec 1, 2024","93,429.20","2,057,355,570,135","3,332.53","1,118,659,048,135",2.0801,"460,831,398,702",189.26,"159,276,925,291"
"Nov 1, 2024","96,449.05","2,055,808,875,264","3,705.71","1,029,930,619,790",1.9441,"240,464,639,434",237.74,"189,637,241,339"
"Oct 1, 2024","70,215.19","993,732,418,048","2,515.80","500,885,085,548",0.5092,"34,606,781,409",168.43,"80,693,058,892"
"Sep 1, 2024","63,329.50","879,117,914,822","2,603.06","438,144,022,015",0.6115,"33,812,260,098",152.62,"61,746,399,244"
"Aug 1, 2024","58,969.90","1,043,105,485,208","2,513.39","535,770,895,767",0.5663,"46,339,369,641",135.37,"100,993,272,262"
"Jul 1, 2024","64,619.25","953,395,573,307","3,231.30","496,826,192,549",0.6239,"52,964,472,218",171.83,"83,075,648,942"
"Jun 1, 2024","62,678.29","726,773,965,644","3,432.89","401,807,474,721",0.4755,"31,415,782,516",146.49,"62,485,827,625"
"May 1, 2024","67,491.41","874,291,509,757","3,760.03","494,712,697,510",0.5178,"33,692,882,513",165.64,"92,091,937,719"
"Apr 1, 2024","60,636.86","1,016,068,331,704","3,012.29","480,678,795,896",0.5001,"51,366,166,806",126.96,"119,806,741,353"
"Mar 1, 2024","71,333.65","1,446,417,844,950","3,647.86","670,105,166,249",0.6292,"78,055,400,876",202.87,"180,057,639,872"
"Feb 1, 2024","61,198.38","830,721,862,621","3,341.92","435,402,067,623",0.5863,"35,390,494,102",125.71,"65,774,857,231"
"Jan 1, 2024","42,582.61","825,918,941,347","2,282.54","365,409,742,553",0.5032,"38,140,686,597",97.03,"85,663,698,999"
"Dec 1, 2023","42,265.19","721,704,910,480","2,281.47","351,655,489,427",0.6149,"42,932,459,638",101.51,"96,652,075,134"
"Nov 1, 2023","37,712.75","570,863,267,380","2,052.56","315,824,566,888",0.6064,"48,123,386,486",59.24,"65,686,484,154"
"Oct 1, 2023","34,667.78","476,425,634,860","1,816.46","192,662,877,051",0.6003,"30,841,443,181",38.52,"20,346,249,922"
"Sep 1, 2023","26,967.92","337,637,313,742","1,671.16","134,781,867,370",0.5154,"24,059,040,291",21.4,"7,329,155,898"
"Aug 1, 2023","25,931.47","437,724,169,499","1,645.64","168,678,383,229",0.5108,"36,964,136,590",19.74,"10,668,041,414"
"Jul 1, 2023","29,230.11","382,224,489,090","1,856.16","177,596,680,398",0.6985,"62,924,300,591",23.72,"19,472,024,682"
"Jun 1, 2023","30,477.25","481,734,214,225","1,933.19","206,194,132,396",0.474,"35,567,120,709",18.9,"11,396,306,573"
"May 1, 2023","27,219.66","443,473,015,479","1,874.13","202,326,166,173",0.5174,"28,713,096,386",20.82,"9,078,738,922"
"Apr 1, 2023","29,268.81","511,540,319,004","1,876.92","277,179,762,298",0.4723,"34,696,733,117",22.83,"14,256,987,511"
"Mar 1, 2023","28,478.48","883,299,703,608","1,822.02","302,468,060,876",0.5385,"51,507,438,643",21.17,"17,774,918,267"
"Feb 1, 2023","23,147.35","723,968,574,897","1,605.90","223,749,343,195",0.3771,"25,468,965,964",21.92,"18,758,524,522"
"Jan 1, 2023","23,139.28","690,994,018,045","1,586.54","224,952,954,314",0.4064,"31,217,545,739",23.95,"32,189,311,426"
"Dec 1, 2022","16,547.50","541,356,716,034","1,196.77","161,130,639,970",0.3399,"21,716,710,638",9.96,"8,098,818,749"
"Nov 1, 2022","17,168.57","1,224,531,549,126","1,295.69","421,797,905,717",0.4087,"45,868,433,960",14.12,"38,530,392,927"
"Oct 1, 2022","20,495.77","957,903,424,925","1,572.71","382,071,643,030",0.4659,"51,181,808,836",32.61,"24,020,285,901"
"Sep 1, 2022","19,431.79","1,123,272,250,385","1,327.98","496,652,295,826",0.4798,"65,966,128,848",33.21,"27,370,651,252"
"Aug 1, 2022","20,049.76","894,192,654,543","1,553.68","554,162,785,316",0.3279,"34,012,247,773",31.47,"34,702,219,748"
"Jul 1, 2022","23,336.90","927,582,363,389","1,681.52","534,457,515,643",0.3805,"39,650,213,774",42.4,"43,641,808,083"
"Jun 1, 2022","19,784.73","923,939,211,678","1,067.30","562,032,668,964",0.3314,"39,627,643,330",33.59,"47,456,191,626"
"May 1, 2022","31,792.31","1,105,689,315,990","1,942.33","636,271,175,493",0.4219,"60,039,548,990",45.77,"59,438,120,663"
"Apr 1, 2022","37,714.88","830,115,888,649","2,730.19","493,826,441,956",0.5871,"53,410,197,103",85.1,"54,892,178,111"
"Mar 1, 2022","45,538.68","830,943,838,435","3,281.64","436,852,450,559",0.8146,"69,971,122,276",122.66,"70,610,214,701"
"Feb 1, 2022","43,193.23","671,335,993,325","2,919.20","416,163,449,938",0.782,"80,917,472,475",99.52,"66,218,090,005"
"Jan 1, 2022","38,483.13","923,979,037,681","2,688.28","491,108,556,504",0.6191,"53,056,251,459",99.74,"64,340,292,338"
