Series,Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
1,1,3.56%,-19.00%,6.39%,16.75%,5.65%,8.22%,-9.45%,5.57%,3.46%,,-10.51%,,,,,
1,2,14.22%,16.49%,4.33%,9.79%,14.00%,4.24%,16.69%,3.27%,3.10%,,31.21%,,,,,
1,3,18.76%,0.26%,4.06%,2.82%,11.41%,2.98%,48.78%,3.41%,2.70%,,37.60%,,,,,
1,4,-14.31%,-38.63%,7.04%,3.66%,4.32%,3.42%,72.96%,8.71%,3.70%,,-14.17%,,,,,
1,5,-25.90%,-26.81%,7.85%,1.99%,-4.38%,10.07%,66.15%,12.34%,5.43%,,-22.15%,,,,,
1,6,37.00%,59.35%,5.79%,3.61%,11.05%,6.77%,-24.80%,6.94%,4.14%,,37.10%,,,,,
1,7,23.83%,48.51%,4.98%,15.98%,19.75%,8.18%,-4.10%,4.86%,3.93%,,3.74%,,,,,
1,8,-6.98%,30.67%,5.26%,1.29%,9.95%,14.65%,22.64%,6.70%,5.11%,,19.42%,,,,,
1,9,6.51%,29.32%,7.18%,-0.78%,3.14%,15.72%,37.01%,9.02%,5.39%,,34.30%,,,,,
1,10,18.52%,41.97%,10.05%,0.67%,-2.01%,13.74%,126.55%,13.29%,5.53%,,6.18%,,,,,
2,1,14.22%,16.49%,4.33%,9.79%,14.00%,4.24%,16.69%,3.27%,3.10%,,31.21%,,,,,
2,2,18.76%,0.26%,4.06%,2.82%,11.41%,2.98%,48.78%,3.41%,2.70%,,37.60%,,,,,
2,3,-14.31%,-38.63%,7.04%,3.66%,4.32%,3.42%,72.96%,8.71%,3.70%,,-14.17%,,,,,
2,4,-25.90%,-26.81%,7.85%,1.99%,-4.38%,10.07%,66.15%,12.34%,5.43%,,-22.15%,,,,,
2,5,37.00%,59.35%,5.79%,3.61%,11.05%,6.77%,-24.80%,6.94%,4.14%,,37.10%,,,,,
2,6,23.83%,48.51%,4.98%,15.98%,19.75%,8.18%,-4.10%,4.86%,3.93%,,3.74%,,,,,
2,7,-6.98%,30.67%,5.26%,1.29%,9.95%,14.65%,22.64%,6.70%,5.11%,,19.42%,,,,,
2,8,6.51%,29.32%,7.18%,-0.78%,3.14%,15.72%,37.01%,9.02%,5.39%,,34.30%,,,,,
2,9,18.52%,41.97%,10.05%,0.67%,-2.01%,13.74%,126.55%,13.29%,5.53%,,6.18%,,,,,
2,10,31.74%,42.41%,11.39%,-2.99%,-3.32%,7.40%,15.19%,12.52%,4.74%,,24.43%,,,,,
3,1,18.76%,0.26%,4.06%,2.82%,11.41%,2.98%,48.78%,3.41%,2.70%,,37.60%,,,,,
3,2,-14.31%,-38.63%,7.04%,3.66%,4.32%,3.42%,72.96%,8.71%,3.70%,,-14.17%,,,,,
3,3,-25.90%,-26.81%,7.85%,1.99%,-4.38%,10.07%,66.15%,12.34%,5.43%,,-22.15%,,,,,
3,4,37.00%,59.35%,5.79%,3.61%,11.05%,6.77%,-24.80%,6.94%,4.14%,,37.10%,,,,,
3,5,23.83%,48.51%,4.98%,15.98%,19.75%,8.18%,-4.10%,4.86%,3.93%,,3.74%,,,,,
3,6,-6.98%,30.67%,5.26%,1.29%,9.95%,14.65%,22.64%,6.70%,5.11%,,19.42%,,,,,
3,7,6.51%,29.32%,7.18%,-0.78%,3.14%,15.72%,37.01%,9.02%,5.39%,,34.30%,,,,,
3,8,18.52%,41.97%,10.05%,0.67%,-2.01%,13.74%,126.55%,13.29%,5.53%,,6.18%,,,,,
3,9,31.74%,42.41%,11.39%,-2.99%,-3.32%,7.40%,15.19%,12.52%,4.74%,,24.43%,,,,,
3,10,-4.70%,-4.14%,14.04%,8.20%,8.46%,5.10%,-32.60%,8.92%,5.57%,,-1.03%,,,,,
4,1,-14.31%,-38.63%,7.04%,3.66%,4.32%,3.42%,72.96%,8.71%,3.70%,,-14.17%,,,,,
4,2,-25.90%,-26.81%,7.85%,1.99%,-4.38%,10.07%,66.15%,12.34%,5.43%,,-22.15%,,,,,
4,3,37.00%,59.35%,5.79%,3.61%,11.05%,6.77%,-24.80%,6.94%,4.14%,,37.10%,,,,,
4,4,23.83%,48.51%,4.98%,15.98%,19.75%,8.18%,-4.10%,4.86%,3.93%,,3.74%,,,,,
4,5,-6.98%,30.67%,5.26%,1.29%,9.95%,14.65%,22.64%,6.70%,5.11%,,19.42%,,,,,
4,6,6.51%,29.32%,7.18%,-0.78%,3.14%,15.72%,37.01%,9.02%,5.39%,,34.30%,,,,,
4,7,18.52%,41.97%,10.05%,0.67%,-2.01%,13.74%,126.55%,13.29%,5.53%,,6.18%,,,,,
4,8,31.74%,42.41%,11.39%,-2.99%,-3.32%,7.40%,15.19%,12.52%,4.74%,,24.43%,,,,,
4,9,-4.70%,-4.14%,14.04%,8.20%,8.46%,5.10%,-32.60%,8.92%,5.57%,,-1.03%,,,,,
4,10,20.42%,27.11%,10.60%,32.81%,29.05%,0.56%,15.62%,3.83%,4.93%,,-0.86%,,,,,
5,1,-25.90%,-26.81%,7.85%,1.99%,-4.38%,10.07%,66.15%,12.34%,5.43%,,-22.15%,,,,,
5,2,37.00%,59.35%,5.79%,3.61%,11.05%,6.77%,-24.80%,6.94%,4.14%,,37.10%,,,,,
5,3,23.83%,48.51%,4.98%,15.98%,19.75%,8.18%,-4.10%,4.86%,3.93%,,3.74%,,,,,
5,4,-6.98%,30.67%,5.26%,1.29%,9.95%,14.65%,22.64%,6.70%,5.11%,,19.42%,,,,,
5,5,6.51%,29.32%,7.18%,-0.78%,3.14%,15.72%,37.01%,9.02%,5.39%,,34.30%,,,,,
5,6,18.52%,41.97%,10.05%,0.67%,-2.01%,13.74%,126.55%,13.29%,5.53%,,6.18%,,,,,
5,7,31.74%,42.41%,11.39%,-2.99%,-3.32%,7.40%,15.19%,12.52%,4.74%,,24.43%,,,,,
