Series,Asset,Mean Return,Std Deviation
33-42,S&P 500 (includes dividends),0.084,0.17041478191382592
33-42,US Small cap (bottom decile),0.11126,0.2976354134984966
33-42,US T. Bond (10-year),0.045155,0.0813023238808157
33-42,Baa Corporate Bond,0.06852500000000002,0.0680001847907706
33-42,Real Estate,0.02406,0.07126283005444298
33-42,Gold*,0.10366,0.13994451682532505
33-42,3-month T.Bill,0.0,0.0
33-42,Bitcoin*,0.36102000000000006,0.09083245768127741
33-42,International Stocks,0.06311,0.19687306329874482
33-42,Emerging Markets,0.11815,0.29590419591126915
33-42,NASDAQ 100,0.130075,0.25117822541186297
33-42,Ethereum,0.24009,0.08324997170854585
33-42,XRP,0.07886500000000002,0.10769542469390239
33-42,SOL,0.39141000000000004,0.10453411379721178
