Series,Asset,Mean Return,Std Deviation
27-31,S&P 500 (includes dividends),0.058825,0.2017707580790375
27-31,US Small cap (bottom decile),0.16937,0.3332724617928605
27-31,US T. Bond (10-year),0.064685,0.08341116468876839
27-31,Baa Corporate Bond,0.08375,0.05093282986340674
27-31,Real Estate,0.063015,0.06857843972223954
27-31,Gold*,0.09244,0.14158137477864285
27-31,3-month T.Bill,0.03141,0.01817082392477741
27-31,Bitcoin*,0.37723,0.09374020145285081
27-31,International Stocks,0.06503,0.2319333481843437
27-31,Emerging Markets,0.14465,0.3611433517681252
27-31,NASDAQ 100,0.097745,0.4336455373677301
27-31,Ethereum,0.25493,0.08687362933413229
27-31,XRP,0.09131999999999998,0.10579784894838487
27-31,SOL,0.40798999999999996,0.10759508353080079
