Series,Asset,Mean Return,Std Deviation
20-33,S&P 500 (includes dividends),0.09323000000000001,0.18328800776230203
20-33,US Small cap (bottom decile),0.10110000000000001,0.2963909899901959
20-33,US T. Bond (10-year),0.056995,0.09040896249819483
20-33,Baa Corporate Bond,0.07027500000000002,0.06429865247830871
20-33,Real Estate,-0.006530000000000001,0.061866827264613095
20-33,Gold*,0.05228000000000001,0.1459977995508296
20-33,3-month T.Bill,0.006720000000000001,0.019202236711821936
20-33,Bitcoin*,0.33962,0.08943584939997348
20-33,International Stocks,0.046744999999999995,0.19954167609800214
20-33,Emerging Markets,0.150055,0.3520490074661406
20-33,NASDAQ 100,0.15530499999999997,0.30853921780067545
20-33,Ethereum,0.22118000000000002,0.0903765433005012
20-33,XRP,0.06124999999999999,0.09871283444522565
20-33,SOL,0.369495,0.10248000305579517
