,S&P 500 (includes dividends),US Small cap (bottom decile),US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,3-month T.Bill,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
S&P 500 (includes dividends),0.019863463578947367,0.023267430555555555,0.0021795773684210526,0.006235038105263158,0.002766725263157895,0.0007518466315789465,-0.0002490945263157894,-0.0003589402105263166,0.017757102105263156,0.015711757157894735,0.024608820105263156,-0.001011417578947369,0.0013154886315789476,-0.00037694589473684186
US Small cap (bottom decile),0.02524710147368421,0.03281580499999999,-0.0009707281578947393,0.005507006526315789,0.0058770084210526315,-0.00287141521052632,-0.0007174022894736842,-0.0009308488947368414,0.023369295789473686,0.020609277421052632,0.03376914063157895,-0.002894122578947369,0.0029930917894736846,-0.0009235366842105253
US T. Bond (10-year),0.0021795773684210526,0.00929221833333333,0.007000984736842104,0.005542086842105262,-0.0015428531578947362,0.008052239999999999,-9.220657894736842e-05,-6.418105263157905e-05,-0.00012166894736842076,0.004649127368421052,0.007109584736842103,-0.00025239105263157887,0.0005998715789473681,-9.013368421052568e-05
Baa Corporate Bond,0.006235038105263158,0.01266055333333333,0.005542086842105262,0.006532923789473684,-0.0008594305263157891,0.007696499894736841,-0.00011754989473684213,0.0005139341052631575,0.004456349473684212,0.009515568315789473,0.00945848242105263,-2.368799999999987e-05,0.00043158273684210536,0.000566293368421052
Real Estate,0.002766725263157895,0.003812192222222222,-0.0015428531578947362,-0.0008594305263157891,0.0019255684210526315,-0.0016236121052631575,-9.445263157894738e-05,-0.000334141052631579,0.002514322105263158,0.0013625668421052633,0.0036642899999999997,0.0005899142105263156,-0.0012495310526315787,-0.00038805263157894713
Gold*,0.0007518466315789465,0.013569989444444444,0.008052239999999999,0.007696499894736841,-0.0016236121052631575,0.021948263263157894,0.0004005322631578947,-0.003557499894736842,0.0010208415789473685,0.015220560105263157,0.007132151789473682,0.004460312210526314,-0.005661560105263157,-0.0043280260000000004
3-month T.Bill,-0.0002490945263157894,-0.000644222222222222,-9.220657894736842e-05,-0.00011754989473684213,-9.445263157894738e-05,0.0004005322631578947,6.805628947368421e-05,-0.0002055545789473684,-9.149263157894734e-05,6.829752631578952e-05,-0.0003650338947368421,0.00032667436842105267,-0.00038062884210526317,-0.00025256794736842105
Bitcoin*,-0.0003589402105263166,0.0036662850000000013,-6.418105263157905e-05,0.0005139341052631575,-0.000334141052631579,-0.003557499894736842,-0.0002055545789473684,0.008787225368421052,0.000255506842105263,0.0012531122105263156,-0.0013143603157894739,0.002647324315789473,-0.0030353469473684207,0.010079406631578944
International Stocks,0.017757102105263156,0.016491170555555552,-0.00012166894736842076,0.004456349473684212,0.002514322105263158,0.0010208415789473685,-9.149263157894734e-05,0.000255506842105263,0.020574309473684205,0.019323004736842102,0.022128898421052628,0.00012491894736842108,-0.00010726473684210505,0.0002885036842105268
Emerging Markets,0.015711757157894735,0.024633928333333333,0.004649127368421052,0.009515568315789473,0.0013625668421052633,0.015220560105263157,6.829752631578952e-05,0.0012531122105263156,0.019323004736842102,0.03199061484210526,0.023695384421052627,0.00462749694736842,-0.005382384842105264,0.0012232792631578942
NASDAQ 100,0.024608820105263156,0.035074050555555555,0.007109584736842103,0.00945848242105263,0.0036642899999999997,0.007132151789473682,-0.0003650338947368421,-0.0013143603157894739,0.022128898421052628,0.023695384421052627,0.03989282989473684,0.0002627775789473672,-0.00044064863157894607,-0.0015282162105263145
Ethereum,-0.001011417578947369,0.0031182683333333327,-0.00025239105263157887,-2.368799999999987e-05,0.0005899142105263156,0.004460312210526314,0.00032667436842105267,0.002647324315789473,0.00012491894736842108,0.00462749694736842,0.0002627775789473672,0.0075470274736842095,-0.008471283789473684,0.002743769789473684
XRP,0.0013154886315789476,-0.004553098888888886,0.0005998715789473681,0.00043158273684210536,-0.0012495310526315787,-0.005661560105263157,-0.00038062884210526317,-0.0030353469473684207,-0.00010726473684210505,-0.005382384842105264,-0.00044064863157894607,-0.008471283789473684,0.01119318484210526,-0.0032106218947368413
SOL,-0.00037694589473684186,0.004112933888888887,-9.013368421052568e-05,0.000566293368421052,-0.00038805263157894713,-0.0043280260000000004,-0.00025256794736842105,0.010079406631578944,0.0002885036842105268,0.0012232792631578942,-0.0015282162105263145,0.002743769789473684,-0.0032106218947368413,0.011576701999999998
