Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
1,1,1970,0.0356,-0.19,0.0639,0.1675,0.0565,0.0822,-0.0945,0.0557,0.0346,0.2306,-0.1051,0.0,0.0,0.0599,0.3766,0.2444
1,2,1971,0.1422,0.1649,0.0433,0.0979,0.14,0.0424,0.1669,0.0327,0.031,0.4186,0.3121,0.0,0.0,0.1404,0.16,0.4616
1,3,1972,0.1876,0.0026,0.0406,0.0282,0.1141,0.0298,0.4878,0.0341,0.027,0.5031,0.376,0.0,0.0,0.2256,0.0979,0.5574
1,4,1973,-0.1431,-0.3863,0.0704,0.0366,0.0432,0.0342,0.7296,0.0871,0.037,0.4992,-0.1417,0.0,0.0,0.2898,0.0691,0.5478
1,5,1974,-0.259,-0.2681,0.0785,0.0199,-0.0438,0.1007,0.6615,0.1234,0.0543,0.4583,-0.2215,0.0,0.0,0.323,0.0528,0.4974
1,6,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.4101,0.371,0.0,0.0,0.3304,0.0424,0.4411
1,7,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.3653,0.0374,0.0,0.0,0.3218,0.0353,0.3903
1,8,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.3266,0.1942,0.0,0.0,0.3054,0.03,0.3472
1,9,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.294,0.343,0.0,0.0,0.2862,0.0261,0.3113
1,10,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.2665,0.0618,0.0,0.0,0.2668,0.023,0.2814
2,1,1971,0.1422,0.1649,0.0433,0.0979,0.14,0.0424,0.1669,0.0327,0.031,0.2306,0.3121,0.0,0.0,0.0599,0.3766,0.2444
2,2,1972,0.1876,0.0026,0.0406,0.0282,0.1141,0.0298,0.4878,0.0341,0.027,0.4186,0.376,0.0,0.0,0.1404,0.16,0.4616
2,3,1973,-0.1431,-0.3863,0.0704,0.0366,0.0432,0.0342,0.7296,0.0871,0.037,0.5031,-0.1417,0.0,0.0,0.2256,0.0979,0.5574
2,4,1974,-0.259,-0.2681,0.0785,0.0199,-0.0438,0.1007,0.6615,0.1234,0.0543,0.4992,-0.2215,0.0,0.0,0.2898,0.0691,0.5478
2,5,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.4583,0.371,0.0,0.0,0.323,0.0528,0.4974
2,6,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.4101,0.0374,0.0,0.0,0.3304,0.0424,0.4411
2,7,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.3653,0.1942,0.0,0.0,0.3218,0.0353,0.3903
2,8,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.3266,0.343,0.0,0.0,0.3054,0.03,0.3472
2,9,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.294,0.0618,0.0,0.0,0.2862,0.0261,0.3113
2,10,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.2665,0.2443,0.0,0.0,0.2668,0.023,0.2814
3,1,1972,0.1876,0.0026,0.0406,0.0282,0.1141,0.0298,0.4878,0.0341,0.027,0.2306,0.376,0.0,0.0,0.0599,0.3766,0.2444
3,2,1973,-0.1431,-0.3863,0.0704,0.0366,0.0432,0.0342,0.7296,0.0871,0.037,0.4186,-0.1417,0.0,0.0,0.1404,0.16,0.4616
3,3,1974,-0.259,-0.2681,0.0785,0.0199,-0.0438,0.1007,0.6615,0.1234,0.0543,0.5031,-0.2215,0.0,0.0,0.2256,0.0979,0.5574
3,4,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.4992,0.371,0.0,0.0,0.2898,0.0691,0.5478
3,5,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.4583,0.0374,0.0,0.0,0.323,0.0528,0.4974
3,6,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.4101,0.1942,0.0,0.0,0.3304,0.0424,0.4411
3,7,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.3653,0.343,0.0,0.0,0.3218,0.0353,0.3903
3,8,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.3266,0.0618,0.0,0.0,0.3054,0.03,0.3472
3,9,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.294,0.2443,0.0,0.0,0.2862,0.0261,0.3113
3,10,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.2665,-0.0103,0.0,0.0,0.2668,0.023,0.2814
4,1,1973,-0.1431,-0.3863,0.0704,0.0366,0.0432,0.0342,0.7296,0.0871,0.037,0.2306,-0.1417,0.0,0.0,0.0599,0.3766,0.2444
4,2,1974,-0.259,-0.2681,0.0785,0.0199,-0.0438,0.1007,0.6615,0.1234,0.0543,0.4186,-0.2215,0.0,0.0,0.1404,0.16,0.4616
4,3,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.5031,0.371,0.0,0.0,0.2256,0.0979,0.5574
4,4,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.4992,0.0374,0.0,0.0,0.2898,0.0691,0.5478
4,5,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.4583,0.1942,0.0,0.0,0.323,0.0528,0.4974
4,6,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.4101,0.343,0.0,0.0,0.3304,0.0424,0.4411
4,7,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.3653,0.0618,0.0,0.0,0.3218,0.0353,0.3903
4,8,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.3266,0.2443,0.0,0.0,0.3054,0.03,0.3472
4,9,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.294,-0.0103,0.0,0.0,0.2862,0.0261,0.3113
4,10,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.2665,-0.0086,0.0,0.0,0.2668,0.023,0.2814
5,1,1974,-0.259,-0.2681,0.0785,0.0199,-0.0438,0.1007,0.6615,0.1234,0.0543,0.2306,-0.2215,0.0,0.0,0.0599,0.3766,0.2444
5,2,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.4186,0.371,0.0,0.0,0.1404,0.16,0.4616
5,3,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.5031,0.0374,0.0,0.0,0.2256,0.0979,0.5574
5,4,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.4992,0.1942,0.0,0.0,0.2898,0.0691,0.5478
5,5,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.4583,0.343,0.0,0.0,0.323,0.0528,0.4974
5,6,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.4101,0.0618,0.0,0.0,0.3304,0.0424,0.4411
5,7,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.3653,0.2443,0.0,0.0,0.3218,0.0353,0.3903
5,8,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.3266,-0.0103,0.0,0.0,0.3054,0.03,0.3472
5,9,1982,0.2042,0.2711,0.106,0.3281,0.2905,0.0056,0.1562,0.0383,0.0493,0.294,-0.0086,0.0,0.0,0.2862,0.0261,0.3113
5,10,1983,0.2234,0.3586,0.0862,0.032,0.1619,0.0475,-0.168,0.0379,0.0432,0.2665,0.2461,0.0,0.0,0.2668,0.023,0.2814
6,1,1975,0.37,0.5935,0.0579,0.0361,0.1105,0.0677,-0.248,0.0694,0.0414,0.2306,0.371,0.0,0.0,0.0599,0.3766,0.2444
6,2,1976,0.2383,0.4851,0.0498,0.1598,0.1975,0.0818,-0.041,0.0486,0.0393,0.4186,0.0374,0.0,0.0,0.1404,0.16,0.4616
6,3,1977,-0.0698,0.3067,0.0526,0.0129,0.0995,0.1465,0.2264,0.067,0.0511,0.5031,0.1942,0.0,0.0,0.2256,0.0979,0.5574
6,4,1978,0.0651,0.2932,0.0718,-0.0078,0.0314,0.1572,0.3701,0.0902,0.0539,0.4992,0.343,0.0,0.0,0.2898,0.0691,0.5478
6,5,1979,0.1852,0.4197,0.1005,0.0067,-0.0201,0.1374,1.2655,0.1329,0.0553,0.4583,0.0618,0.0,0.0,0.323,0.0528,0.4974
6,6,1980,0.3174,0.4241,0.1139,-0.0299,-0.0332,0.074,0.1519,0.1252,0.0474,0.4101,0.2443,0.0,0.0,0.3304,0.0424,0.4411
6,7,1981,-0.047,-0.0414,0.1404,0.082,0.0846,0.051,-0.326,0.0892,0.0557,0.3653,-0.0103,0.0,0.0,0.3218,0.0353,0.3903
