Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
1,1,1970,-0.019,-0.2327,0.0078,0.1059,0.0008,0.0251,-0.1423,,,0.1657,-0.1523,-0.0528,-0.0528,0.004,0.304,0.1787
1,2,1971,0.106,0.128,0.0103,0.0631,0.1039,0.0094,0.13,,,0.3737,0.2706,-0.0317,-0.0317,0.1043,0.1233,0.4153
1,3,1972,0.1484,-0.0305,0.0063,-0.0057,0.0774,-0.0042,0.4387,,,0.4535,0.3306,-0.033,-0.033,0.1852,0.0617,0.506
1,4,1973,-0.2118,-0.4355,-0.0154,-0.0465,-0.0404,-0.0487,0.591,,,0.3791,-0.2105,-0.0801,-0.0801,0.1865,-0.0166,0.4238
1,5,1974,-0.3404,-0.3485,-0.04,-0.0921,-0.1488,-0.0202,0.479,,,0.2981,-0.307,-0.1098,-0.1098,0.1777,-0.0628,0.3329
1,6,1975,0.2811,0.4901,-0.0108,-0.0311,0.0384,-0.0016,-0.2968,,,0.3186,0.282,-0.0649,-0.0649,0.2441,-0.0252,0.3476
1,7,1976,0.1809,0.4163,0.0011,0.106,0.142,0.0317,-0.0854,,,0.302,-0.0107,-0.0463,-0.0463,0.2605,-0.0127,0.3259
1,8,1977,-0.1282,0.2246,-0.0135,-0.0507,0.0305,0.0745,0.1494,,,0.2433,0.1192,-0.0628,-0.0628,0.2234,-0.0347,0.2626
1,9,1978,-0.023,0.1862,-0.0169,-0.0899,-0.0539,0.0615,0.2567,,,0.1869,0.2319,-0.0827,-0.0827,0.1798,-0.0588,0.2028
1,10,1979,0.0462,0.2532,-0.0286,-0.1114,-0.1351,0.004,0.9997,,,0.1179,-0.0628,-0.1173,-0.1173,0.1182,-0.097,0.1311
2,1,1971,0.106,0.128,0.0103,0.0631,0.1039,0.0094,0.13,,,0.1916,0.2706,-0.0317,-0.0317,0.0263,0.333,0.205
2,2,1972,0.1484,-0.0305,0.0063,-0.0057,0.0774,-0.0042,0.4387,,,0.3718,0.3306,-0.033,-0.033,0.1028,0.1217,0.4134
2,3,1973,-0.2118,-0.4355,-0.0154,-0.0465,-0.0404,-0.0487,0.591,,,0.3827,-0.2105,-0.0801,-0.0801,0.1274,0.0099,0.4326
2,4,1974,-0.3404,-0.3485,-0.04,-0.0921,-0.1488,-0.0202,0.479,,,0.3345,-0.307,-0.1098,-0.1098,0.1481,-0.0483,0.3778
2,5,1975,0.2811,0.4901,-0.0108,-0.0311,0.0384,-0.0016,-0.2968,,,0.3637,0.282,-0.0649,-0.0649,0.2371,-0.0155,0.4002
