Series,Year,calendar year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold*,inflation,SP500 Dividend Yield,Bitcoin*,International Stocks,Emerging Markets,NASDAQ 100,Ethereum,XRP,SOL
1,1,1970,-0.0266,-0.2387,0.0,0.0974,-0.007,0.0172,-0.1489,,,0.1567,-0.1588,-0.0601,-0.0601,-0.0038,0.2939,0.1697
1,2,1971,0.0948,0.1166,0.0,0.0523,0.0927,-0.0009,0.1185,,,0.3597,0.2576,-0.0415,-0.0415,0.0931,0.1119,0.4009
1,3,1972,0.1413,-0.0365,0.0,-0.0119,0.0706,-0.0104,0.4298,,,0.4445,0.3223,-0.039,-0.039,0.1778,0.0551,0.4966
1,4,1973,-0.1995,-0.4267,0.0,-0.0316,-0.0254,-0.0338,0.6158,,,0.4006,-0.1982,-0.0658,-0.0658,0.205,-0.0012,0.446
1,5,1974,-0.3129,-0.3214,0.0,-0.0543,-0.1134,0.0206,0.5406,,,0.3522,-0.2782,-0.0728,-0.0728,0.2267,-0.0238,0.3884
1,6,1975,0.295,0.5063,0.0,-0.0206,0.0497,0.0093,-0.2892,,,0.3329,0.296,-0.0547,-0.0547,0.2576,-0.0147,0.3622
1,7,1976,0.1796,0.4147,0.0,0.1048,0.1407,0.0305,-0.0865,,,0.3005,-0.0118,-0.0474,-0.0474,0.2591,-0.0138,0.3243
1,8,1977,-0.1163,0.2414,0.0,-0.0377,0.0446,0.0892,0.1651,,,0.2603,0.1345,-0.05,-0.05,0.2402,-0.0215,0.2799
1,9,1978,-0.0063,0.2066,0.0,-0.0743,-0.0377,0.0797,0.2783,,,0.2073,0.253,-0.067,-0.067,0.2,-0.0426,0.2235
1,10,1979,0.077,0.29,0.0,-0.0852,-0.1096,0.0335,1.0586,,,0.1508,-0.0352,-0.0913,-0.0913,0.1511,-0.0704,0.1644
2,1,1971,0.0948,0.1166,0.0,0.0523,0.0927,-0.0009,0.1185,,,0.1795,0.2576,-0.0415,-0.0415,0.0159,0.3195,0.1928
2,2,1972,0.1413,-0.0365,0.0,-0.0119,0.0706,-0.0104,0.4298,,,0.3633,0.3223,-0.039,-0.039,0.0959,0.1147,0.4046
